Name,Club,Start Date,From,End Date,Until,adjustedStartDate
Julen Lopetegui,Wolves,14/11/2022 00:00,14-Nov-22,,,14/11/2022 00:00
Marco Silva,Fulham,01/07/2021 00:00,01-Jul-21,,,01/07/2021 00:00
Erik ten Hag,Man United,01/06/2022 00:00,01-Jun-22,,,01/06/2022 00:00
Gary O'Neil,Bournemouth,30/08/2022 00:00,30/08/2022 00:00,,,30/08/2022 00:00
Unai Emery,Aston Villa,01/11/2022 00:00,01-Nov-22,,,01/11/2022 00:00
Jesse Marsch,Leeds,28/02/2022 00:00,28-Feb-22,,,28/02/2022 00:00
Steve Cooper,Nott'm Forest,21/09/2021 00:00,21-Sep-21,,,21/09/2021 00:00
Frank Lampard,Everton,31/01/2022 00:00,31-Jan-22,,,31/01/2022 00:00
Roberto De Zerbi,Brighton,18/09/2022 00:00,18/09/2022 00:00,,,18/09/2022 00:00
Graham Potter,Chelsea,08/09/2022 00:00,08-Sep-22,,,08/09/2022 00:00
Nathan Jones,Southampton,10/11/2022 00:00,10-Nov-22,,,10/11/2022 00:00
Roy Hodgson,Watford,25/01/2022 00:00,25-Jan-22,22/05/2022 00:00,22-May-22,25/01/2022 00:00
Steve Davis,Wolves,03/10/2022 00:00,03-Oct-22,13/11/2022 00:00,13-Nov-22,03/10/2022 00:00
Scott Parker,Bournemouth,28/06/2021 00:00,28-Jun-21,30/08/2022 00:00,30-Aug-22,28/06/2021 00:00
Aaron Danks,Aston Villa,21/10/2022 00:00,21-Oct-22,31/10/2022 00:00,31-Oct-22,21/10/2022 00:00
Mike Jackson,Burnley,15/04/2022 00:00,15-Apr-22,22/05/2022 00:00,22-May-22,15/04/2022 00:00
Duncan Ferguson,Everton,18/01/2022 00:00,18-Jan-22,31/01/2022 00:00,31-Jan-22,18/01/2022 00:00
Rubén Sellés,Southampton,07/11/2022 00:00,07-Nov-22,10/11/2022 00:00,10-Nov-22,07/11/2022 00:00
Bruno Lage,Wolves,09/06/2021 00:00,09-Jun-21,02/10/2022 00:00,02-Oct-22,09/06/2021 00:00
Claudio Ranieri,Watford,04/10/2021 00:00,04-Oct-21,24/01/2022 00:00,24-Jan-22,04/10/2021 00:00
Steven Gerrard,Aston Villa,11/11/2021 00:00,11-Nov-21,20/10/2022 00:00,20-Oct-22,11/11/2021 00:00
Ralf Rangnick,Man United,03/12/2021 00:00,03-Dec-21,22/05/2022 00:00,22-May-22,03/12/2021 00:00
Dean Smith §,Norwich,15/11/2021 00:00,15-Nov-21,,,15/11/2021 00:00
Thomas Tuchel,Chelsea,26/01/2021 00:00,26-Jan-21,07/09/2022 00:00,07-Sep-22,26/01/2021 00:00
Rafael Benítez,Everton,30/06/2021 00:00,30-Jun-21,16/01/2022 00:00,16-Jan-22,30/06/2021 00:00
Antonio Conte,Tottenham,02/11/2021 00:00,02-Nov-21,,,02/11/2021 00:00
Patrick Vieira,Crystal Palace,04/07/2021 00:00,04-Jul-21,,,04/07/2021 00:00
Eddie Howe,Newcastle,08/11/2021 00:00,08-Nov-21,,,08/11/2021 00:00
Thomas Frank,Brentford,16/10/2018 00:00,16-Oct-18,,,16/10/2018 00:00
Xisco Muñoz,Watford,20/12/2020 00:00,20-Dec-20,03/10/2021 00:00,03-Oct-21,20/12/2020 00:00
Paul Heckingbottom,Sheffield United,13/03/2021 00:00,13-Mar-21,27/05/2021 00:00,27-May-21,13/03/2021 00:00
Ryan Mason,Tottenham,19/04/2021 00:00,19-Apr-21,30/06/2021 00:00,30-Jun-21,19/04/2021 00:00
Nuno Espírito Santo,Tottenham,30/06/2021 00:00,30-Jun-21,01/11/2021 00:00,01-Nov-21,30/06/2021 00:00
Michael Carrick,Man United,21/11/2021 00:00,21-Nov-21,02/12/2021 00:00,02-Dec-21,21/11/2021 00:00
Graeme Jones,Newcastle,20/10/2021 00:00,20-Oct-21,08/11/2021 00:00,08-Nov-21,20/10/2021 00:00
Marcelo Bielsa,Leeds,15/06/2018 00:00,15-Jun-18,27/02/2022 00:00,27-Feb-22,15/06/2018 00:00
Sam Allardyce,West Brom,16/12/2020 00:00,16-Dec-20,23/05/2021 00:00,23-May-21,16/12/2020 00:00
Hayden Mullins,Watford,19/07/2020 00:00,19-Jul-20,15/08/2020 00:00,15-Aug-20,19/07/2020 00:00
Slaven Bili?,West Brom,13/06/2019 00:00,13-Jun-19,16/12/2020 00:00,16-Dec-20,13/06/2019 00:00
Graham Potter,Brighton,20/05/2019 00:00,20-May-19,08/09/2022 00:00,08-Sep-22,20/05/2019 00:00
José Mourinho,Tottenham,20/11/2019 00:00,20-Nov-19,19/04/2021 00:00,19-Apr-21,20/11/2019 00:00
Steve Bruce,Newcastle,17/07/2019 00:00,17-Jul-19,20/10/2021 00:00,20-Oct-21,17/07/2019 00:00
Chris Wilder,Sheffield United,12/05/2016 00:00,12-May-16,13/03/2021 00:00,13-Mar-21,12/05/2016 00:00
Frank Lampard,Chelsea,04/07/2019 00:00,04-Jul-19,25/01/2021 00:00,25-Jan-21,04/07/2019 00:00
Dean Smith,Aston Villa,10/10/2018 00:00,10-Oct-18,07/11/2021 00:00,07-Nov-21,10/10/2018 00:00
Carlo Ancelotti,Everton,22/12/2019 00:00,22-Dec-19,01/06/2021 00:00,01-Jun-21,22/12/2019 00:00
Daniel Farke,Norwich,25/05/2017 00:00,25-May-17,06/11/2021 00:00,06-Nov-21,25/05/2017 00:00
Nigel Pearson,Watford,08/12/2019 00:00,08-Dec-19,19/07/2020 00:00,19-Jul-20,08/12/2019 00:00
Brendan Rodgers,Leicester,27/02/2019 00:00,27-Feb-19,,,27/02/2019 00:00
David Moyes,West Ham,29/12/2019 00:00,29-Dec-19,,,29/12/2019 00:00
Mikel Arteta,Arsenal,22/12/2019 00:00,22-Dec-19,,,22/12/2019 00:00
Scott Parker,Fulham,28/02/2019 00:00,28/02/2019 00:00,28/06/2021 00:00,28-Jun-21,28/02/2019 00:00
Hayden Mullins,Watford,02/12/2019 00:00,02-Dec-19,07/12/2019 00:00,07-Dec-19,02/12/2019 00:00
Jan Siewert,Huddersfield,21/01/2019 00:00,21-Jan-19,16/08/2019 00:00,16-Aug-19,21/01/2019 00:00
Mark Hudson,Huddersfield,14/01/2019 00:00,14-Jan-19,21/01/2019 00:00,21-Jan-19,14/01/2019 00:00
Quique Sánchez Flores,Watford,07/09/2019 00:00,07-Sep-19,01/12/2019 00:00,01-Dec-19,07/09/2019 00:00
Mike Stowell,Leicester,24/02/2019 00:00,24-Feb-19,26/02/2019 00:00,26-Feb-19,24/02/2019 00:00
Adam Sadler,Leicester,24/02/2019 00:00,24-Feb-19,26/02/2019 00:00,26-Feb-19,24/02/2019 00:00
Freddie Ljungberg,Arsenal,29/11/2019 00:00,29-Nov-19,21/12/2019 00:00,21-Dec-19,29/11/2019 00:00
Duncan Ferguson,Everton,05/12/2019 00:00,05-Dec-19,21/12/2019 00:00,21-Dec-19,05/12/2019 00:00
Ralph Hasenhüttl,Southampton,06/12/2018 00:00,06-Dec-18,07/11/2022 00:00,07-Nov-22,06/12/2018 00:00
Nuno Espírito Santo,Wolves,31/05/2017 00:00,31-May-17,23/05/2021 00:00,23-May-21,31/05/2017 00:00
Ole Gunnar Solskjær,Man United,19/12/2018 00:00,19/12/2018 00:00,21/11/2021 00:00,21-Nov-21,19/12/2018 00:00
Javi Gracia,Watford,21/01/2018 00:00,21-Jan-18,07/09/2019 00:00,07-Sep-19,21/01/2018 00:00
Claudio Ranieri,Fulham,14/11/2018 00:00,14-Nov-18,28/02/2019 00:00,28-Feb-19,14/11/2018 00:00
Manuel Pellegrini,West Ham,22/05/2018 00:00,22-May-18,28/12/2019 00:00,28-Dec-19,22/05/2018 00:00
Marco Silva,Everton,31/05/2018 00:00,31-May-18,05/12/2019 00:00,05-Dec-19,31/05/2018 00:00
Unai Emery,Arsenal,23/05/2018 00:00,23-May-18,29/11/2019 00:00,29-Nov-19,23/05/2018 00:00
Maurizio Sarri,Chelsea,14/07/2018 00:00,14-Jul-18,16/06/2019 00:00,16-Jun-19,14/07/2018 00:00
Neil Warnock,Cardiff,05/10/2016 00:00,05-Oct-16,11/11/2019 00:00,11-Nov-19,05/10/2016 00:00
Kelvin Davis,Southampton,03/12/2018 00:00,03-Dec-18,05/12/2018 00:00,05-Dec-18,03/12/2018 00:00
Eddie Niedzwiecki,Stoke,08/01/2018 00:00,08-Jan-18,15/01/2018 00:00,15-Jan-18,08/01/2018 00:00
Mark Hughes,Southampton,14/03/2018 00:00,14-Mar-18,03/12/2018 00:00,03-Dec-18,14/03/2018 00:00
Slaviša Jokanovi?,Fulham,27/12/2015 00:00,27-Dec-15,14/11/2018 00:00,14-Nov-18,27/12/2015 00:00
Paul Lambert,Stoke,15/01/2018 00:00,15-Jan-18,18/05/2018 00:00,18-May-18,15/01/2018 00:00
Darren Moore,West Brom,02/04/2018 00:00,02/04/2018 00:00,09/03/2019 00:00,09-Mar-19,02/04/2018 00:00
Roy Hodgson,Crystal Palace,12/09/2017 00:00,12-Sep-17,24/05/2021 00:00,24-May-21,12/09/2017 00:00
Chris Hughton,Brighton,31/12/2014 00:00,31-Dec-14,13/05/2019 00:00,13-May-19,31/12/2014 00:00
Claude Puel,Leicester,25/10/2017 00:00,25-Oct-17,24/02/2019 00:00,24-Feb-19,25/10/2017 00:00
David Wagner,Huddersfield,09/11/2015 00:00,09-Nov-15,14/01/2019 00:00,14-Jan-19,09/11/2015 00:00
Mauricio Pellegrino,Southampton,23/06/2017 00:00,23-Jun-17,12/03/2018 00:00,12-Mar-18,23/06/2017 00:00
Carlos Carvalhal,Swansea,28/12/2017 00:00,28-Dec-17,18/05/2018 00:00,18-May-18,28/12/2017 00:00
Sam Allardyce,Everton,30/11/2017 00:00,30-Nov-17,16/05/2018 00:00,16-May-18,30/11/2017 00:00
David Moyes,West Ham,07/11/2017 00:00,07-Nov-17,16/05/2018 00:00,16-May-18,07/11/2017 00:00
Marco Silva,Watford,27/05/2017 00:00,27-May-17,21/01/2018 00:00,21-Jan-18,27/05/2017 00:00
Alan Pardew,West Brom,29/11/2017 00:00,29-Nov-17,02/04/2018 00:00,02-Apr-18,29/11/2017 00:00
Michael Appleton,Leicester,17/10/2017 00:00,17-Oct-17,25/10/2017 00:00,25-Oct-17,17/10/2017 00:00
Leon Britton,Swansea,20/12/2017 00:00,20-Dec-17,28/12/2017 00:00,28-Dec-17,20/12/2017 00:00
Paul Clement,Swansea,03/01/2017 00:00,03-Jan-17,20/12/2017 00:00,20-Dec-17,03/01/2017 00:00
Frank de Boer,Crystal Palace,26/06/2017 00:00,26-Jun-17,11/09/2017 00:00,11-Sep-17,26/06/2017 00:00
Marco Silva,Hull,05/01/2017 00:00,05-Jan-17,25/05/2017 00:00,25-May-17,05/01/2017 00:00
Craig Shakespeare,Leicester,23/02/2017 00:00,23/02/2017 00:00,17/10/2017 00:00,17-Oct-17,23/02/2017 00:00
Steve Agnew,Middlesbrough,16/03/2017 00:00,16-Mar-17,09/06/2017 00:00,09-Jun-17,16/03/2017 00:00
David Unsworth,Everton,23/10/2017 00:00,23-Oct-17,30/11/2017 00:00,30-Nov-17,23/10/2017 00:00
Gary Megson,West Brom,20/11/2017 00:00,20-Nov-17,29/11/2017 00:00,29-Nov-17,20/11/2017 00:00
Antonio Conte,Chelsea,03/07/2016 00:00,03-Jul-16,13/07/2018 00:00,13-Jul-18,03/07/2016 00:00
José Mourinho,Man United,27/05/2016 00:00,27-May-16,18/12/2018 00:00,18-Dec-18,27/05/2016 00:00
David Moyes,Sunderland,23/07/2016 00:00,23-Jul-16,22/05/2017 00:00,22-May-17,23/07/2016 00:00
Walter Mazzarri,Watford,01/07/2016 00:00,01-Jul-16,21/05/2017 00:00,21-May-17,01/07/2016 00:00
Mike Phelan,Hull,22/07/2016 00:00,22/07/2016 00:00,03/01/2017 00:00,03-Jan-17,22/07/2016 00:00
Ronald Koeman,Everton,14/06/2016 00:00,14-Jun-16,23/10/2017 00:00,23-Oct-17,14/06/2016 00:00
Sam Allardyce,Crystal Palace,23/12/2016 00:00,23-Dec-16,23/05/2017 00:00,23-May-17,23/12/2016 00:00
Alan Curtis,Swansea,27/12/2016 00:00,27-Dec-16,03/01/2017 00:00,03-Jan-17,27/12/2016 00:00
Claude Puel,Southampton,30/06/2016 00:00,30-Jun-16,14/06/2017 00:00,14-Jun-17,30/06/2016 00:00
Aitor Karanka,Middlesbrough,13/11/2013 00:00,13-Nov-13,16/03/2017 00:00,16-Mar-17,13/11/2013 00:00
Pep Guardiola,Man City,01/07/2016 00:00,01-Jul-16,,,01/07/2016 00:00
Rafael Benítez,Newcastle,11/03/2016 00:00,11-Mar-16,30/06/2019 00:00,30-Jun-19,11/03/2016 00:00
Bob Bradley,Swansea,03/10/2016 00:00,03-Oct-16,27/12/2016 00:00,27-Dec-16,03/10/2016 00:00
Eric Black,Aston Villa,29/03/2016 00:00,29-Mar-16,02/06/2016 00:00,02-Jun-16,29/03/2016 00:00
Francesco Guidolin,Swansea,18/01/2016 00:00,18-Jan-16,03/10/2016 00:00,03-Oct-16,18/01/2016 00:00
David Unsworth,Everton,12/05/2016 00:00,12-May-16,14/06/2016 00:00,14-Jun-16,12/05/2016 00:00
Eddie Howe,Bournemouth,12/10/2012 00:00,12-Oct-12,01/08/2020 00:00,01-Aug-20,12/10/2012 00:00
Slaven Bili?,West Ham,09/06/2015 00:00,09-Jun-15,06/11/2017 00:00,06-Nov-17,09/06/2015 00:00
Tony Pulis,West Brom,01/01/2015 00:00,01-Jan-15,20/11/2017 00:00,20-Nov-17,01/01/2015 00:00
Claudio Ranieri,Leicester,13/07/2015 00:00,13-Jul-15,23/02/2017 00:00,23-Feb-17,13/07/2015 00:00
Alex Neil,Norwich,09/01/2015 00:00,09-Jan-15,10/03/2017 00:00,10-Mar-17,09/01/2015 00:00
Alan Pardew,Crystal Palace,02/01/2015 00:00,02-Jan-15,22/12/2016 00:00,22-Dec-16,02/01/2015 00:00
Rémi Garde,Aston Villa,02/11/2015 00:00,02-Nov-15,29/03/2016 00:00,29-Mar-16,02/11/2015 00:00
Guus Hiddink,Chelsea,19/12/2015 00:00,19-Dec-15,15/05/2016 00:00,15-May-16,19/12/2015 00:00
Alan Curtis,Swansea,09/12/2015 00:00,09-Dec-15,18/01/2016 00:00,18-Jan-16,09/12/2015 00:00
Steve McClaren,Newcastle,10/06/2015 00:00,10-Jun-15,11/03/2016 00:00,11-Mar-16,10/06/2015 00:00
Sam Allardyce,Sunderland,09/10/2015 00:00,09-Oct-15,22/07/2016 00:00,22-Jul-16,09/10/2015 00:00
Quique Sánchez Flores,Watford,05/06/2015 00:00,05-Jun-15,15/05/2016 00:00,15-May-16,05/06/2015 00:00
Jürgen Klopp,Liverpool,08/10/2015 00:00,08-Oct-15,,,08/10/2015 00:00
Chris Ramsey,QPR,03/02/2015 00:00,03/02/2015 00:00,04/11/2015 00:00,04-Nov-15,03/02/2015 00:00
Tim Sherwood,Aston Villa,14/02/2015 00:00,14-Feb-15,25/10/2015 00:00,25-Oct-15,14/02/2015 00:00
Kevin MacDonald,Aston Villa,25/10/2015 00:00,25-Oct-15,02/11/2015 00:00,02-Nov-15,25/10/2015 00:00
Dick Advocaat,Sunderland,17/03/2015 00:00,17-Mar-15,04/10/2015 00:00,04-Oct-15,17/03/2015 00:00
Scott Marshall,Aston Villa,11/02/2015 00:00,11-Feb-15,14/02/2015 00:00,14-Feb-15,11/02/2015 00:00
Kevin Bond,QPR,03/02/2015 00:00,03-Feb-15,12/02/2015 00:00,12-Feb-15,03/02/2015 00:00
John Carver,Newcastle,02/01/2015 00:00,02/01/2015 00:00,10/06/2015 00:00,10-Jun-15,02/01/2015 00:00
Steve Holland,Chelsea,17/12/2015 00:00,17-Dec-15,19/12/2015 00:00,19-Dec-15,17/12/2015 00:00
Mauricio Pochettino,Tottenham,27/05/2014 00:00,27-May-14,19/11/2019 00:00,19-Nov-19,27/05/2014 00:00
Louis van Gaal,Man United,14/07/2014 00:00,14-Jul-14,23/05/2016 00:00,23-May-16,14/07/2014 00:00
Ronald Koeman,Southampton,16/06/2014 00:00,16-Jun-14,14/06/2016 00:00,14-Jun-16,16/06/2014 00:00
Sean Dyche,Burnley,30/10/2012 00:00,30-Oct-12,15/04/2022 00:00,15-Apr-22,30/10/2012 00:00
Rob Kelly,West Brom,29/12/2014 00:00,29-Dec-14,01/01/2015 00:00,01-Jan-15,29/12/2014 00:00
Nigel Pearson,Leicester,15/11/2011 00:00,15-Nov-11,30/06/2015 00:00,30-Jun-15,15/11/2011 00:00
Garry Monk,Swansea,04/02/2014 00:00,04-Feb-14,09/12/2015 00:00,09-Dec-15,04/02/2014 00:00
Keith Millen,Crystal Palace,27/12/2014 00:00,27-Dec-14,02/01/2015 00:00,02-Jan-15,27/12/2014 00:00
Alan Irvine,West Brom,14/06/2014 00:00,14-Jun-14,29/12/2014 00:00,29-Dec-14,14/06/2014 00:00
Pepe Mel,West Brom,09/01/2014 00:00,09-Jan-14,12/05/2014 00:00,12-May-14,09/01/2014 00:00
Neil Adams,Norwich,06/04/2014 00:00,06-Apr-14,05/01/2015 00:00,05-Jan-15,06/04/2014 00:00
Ryan Giggs,Man United,22/04/2014 00:00,22-Apr-14,11/05/2014 00:00,11-May-14,22/04/2014 00:00
Ole Gunnar Solskjær,Cardiff,02/01/2014 00:00,02-Jan-14,18/09/2014 00:00,18-Sep-14,02/01/2014 00:00
Keith Millen,Crystal Palace,14/08/2014 00:00,14-Aug-14,27/08/2014 00:00,27-Aug-14,14/08/2014 00:00
Felix Magath,Fulham,14/02/2014 00:00,14-Feb-14,18/09/2014 00:00,18-Sep-14,14/02/2014 00:00
Neil Warnock,Crystal Palace,27/08/2014 00:00,27-Aug-14,27/12/2014 00:00,27-Dec-14,27/08/2014 00:00
Mark Hughes,Stoke,30/05/2013 00:00,30-May-13,06/01/2018 00:00,06-Jan-18,30/05/2013 00:00
Roberto Martínez,Everton,05/06/2013 00:00,05-Jun-13,12/05/2016 00:00,12-May-16,05/06/2013 00:00
Manuel Pellegrini,Man City,14/06/2013 00:00,14-Jun-13,30/06/2016 00:00,30-Jun-16,14/06/2013 00:00
Steve Bruce,Hull,08/06/2012 00:00,08-Jun-12,22/07/2016 00:00,22-Jul-16,08/06/2012 00:00
José Mourinho,Chelsea,03/06/2013 00:00,03-Jun-13,17/12/2015 00:00,17-Dec-15,03/06/2013 00:00
Gus Poyet,Sunderland,08/10/2013 00:00,08-Oct-13,16/03/2015 00:00,16-Mar-15,08/10/2013 00:00
Mauricio Pochettino,Southampton,18/01/2013 00:00,18-Jan-13,27/05/2014 00:00,27-May-14,18/01/2013 00:00
Tim Sherwood,Tottenham,16/12/2013 00:00,16-Dec-13,13/05/2014 00:00,13-May-14,16/12/2013 00:00
Keith Downing,West Brom,14/12/2013 00:00,14-Dec-13,09/01/2014 00:00,09-Jan-14,14/12/2013 00:00
David Moyes,Man United,01/07/2013 00:00,01-Jul-13,22/04/2014 00:00,22-Apr-14,01/07/2013 00:00
René Meulensteen,Fulham,01/12/2013 00:00,01-Dec-13,14/02/2014 00:00,14-Feb-14,01/12/2013 00:00
David Kerslake,Cardiff,27/12/2013 00:00,27-Dec-13,02/01/2014 00:00,02-Jan-14,27/12/2013 00:00
Tony Pulis,Crystal Palace,23/11/2013 00:00,23-Nov-13,14/08/2014 00:00,14-Aug-14,23/11/2013 00:00
Malky Mackay,Cardiff,17/06/2011 00:00,17-Jun-11,27/12/2013 00:00,27-Dec-13,17/06/2011 00:00
Brian Kidd,Man City,13/05/2013 00:00,13-May-13,14/06/2013 00:00,14-Jun-13,13/05/2013 00:00
Ian Holloway,Crystal Palace,03/11/2012 00:00,03-Nov-12,23/10/2013 00:00,23-Oct-13,03/11/2012 00:00
Nigel Adkins,Reading,26/03/2013 00:00,26-Mar-13,15/12/2014 00:00,15-Dec-14,26/03/2013 00:00
Keith Millen,Crystal Palace,23/10/2013 00:00,23-Oct-13,23/11/2013 00:00,23-Nov-13,23/10/2013 00:00
Kevin Ball,Sunderland,22/09/2013 00:00,22-Sep-13,08/10/2013 00:00,08-Oct-13,22/09/2013 00:00
Paolo Di Canio,Sunderland,31/03/2013 00:00,31-Mar-13,22/09/2013 00:00,22-Sep-13,31/03/2013 00:00
Brendan Rodgers,Liverpool,01/06/2012 00:00,01-Jun-12,04/10/2015 00:00,04-Oct-15,01/06/2012 00:00
Sam Allardyce,West Ham,01/06/2011 00:00,01-Jun-11,24/05/2015 00:00,24-May-15,01/06/2011 00:00
Paul Lambert,Aston Villa,02/06/2012 00:00,02-Jun-12,11/02/2015 00:00,11-Feb-15,02/06/2012 00:00
Chris Hughton,Norwich,07/06/2012 00:00,07-Jun-12,06/04/2014 00:00,06-Apr-14,07/06/2012 00:00
Michael Laudrup,Swansea,15/06/2012 00:00,15-Jun-12,04/02/2014 00:00,04-Feb-14,15/06/2012 00:00
Harry Redknapp,QPR,24/11/2012 00:00,24-Nov-12,03/02/2015 00:00,03-Feb-15,24/11/2012 00:00
André Villas-Boas,Tottenham,06/07/2012 00:00,06-Jul-12,16/12/2013 00:00,16-Dec-13,06/07/2012 00:00
